"TOA5","K34_CR1000_METEO","CR1000","47272","CR1000.Std.32.05","CPU:K34_METEO_JUL2023.CR1","22247","meteo"
"TIMESTAMP","RECORD","SWIN_1_1_1","SWOUT_1_1_1","LWIN_1_1_1","LWOUT_1_1_1","PPFD_1_1_1","PPFD_2_1_1","RN_1_1_1","RG_1_1_1","SWDIF_1_1_1","TC_1_1_1","PA_1_1_1","P_RAIN_8_19_1_1_1","VIN_1_1_1","T_CRN4_1_1_1","TA_1_1_1","TA_1_2_1","TA_1_3_1","TA_2_1_1_4_1","TA_2_1_1_5_1","TA_1_6_1","RH_1_1_1","RH_1_2_1","RH_1_3_1","RH_1_4_1","RH_1_5_1","RH_1_6_1","WS_1_1_1","WD_1_1_1","WS_1_2_1","WS_1_3_1","WS_1_4_1","WD_1_4_1","H2O_1_2_1","H2O_99_99_1_3_1","H2O_1_4_1","H2O_1_5_1","H2O_1_6_1","H2O_1_7_1","CO2_1_2_1","CO2_1_3_1","CO2_1_4_1","CO2_1_5_1","CO2_1_6_1","CO2_1_7_1"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","m/s","Deg","m/s","m/s","m/s","Deg","","","","","","","","","","","",""
"","","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Tot:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","WVc:","WVc:","Avg:","Avg:","WVc:","WVc:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:"
"2023-07-31 12:00:00",0,1051.422,107.6584,-68.30289,-9.000318,1976.465,69.80743,884.4608,1077.241,249.4311,33.97881,1002.187,0,53.01622,34.74808,31.93989,32.02205,32.30827,33.36859,31.6216,30.08232,62.35236,60.42865,60.46032,56.86025,62.43245,79.62286,4.073334,80.55846,3.170236,2.650854,1.002382,75.07881,0,0,-0.2008152,-0.3836021,-0.2368037,-0.4283048,0,0,106.9506,355.8483,374.5388,405.985
"2023-07-31 12:30:00",1,588.5297,57.11884,-62.81713,-9.621692,1081.24,41.81958,478.2154,584.2968,234.5453,32.38718,1001.87,0,56.00861,34.08723,31.8401,31.9373,32.10557,32.5071,31.3132,30.04084,63.03907,61.30177,61.29887,59.30019,64.52458,77.68149,2.691999,116.336,2.06724,1.82298,0.83145,130.0268,-0.2149704,-0.2018757,-0.1380392,-0.1805997,-0.3093679,-0.6133178,357.8687,357.5618,356.0887,356.1511,356.5742,404.5204
"2023-07-31 13:00:00",2,881.9734,89.05908,-64.04224,-8.230146,1621.729,56.88605,737.1022,908.6057,271.3047,34.20007,1001.443,0,57.49947,34.91556,32.4485,32.44196,32.62822,33.57798,31.63593,30.11764,61.34499,60.13849,60.14888,56.8194,62.92382,77.46178,3.008167,93.22315,2.17971,1.91199,0.83697,87.00211,-0.3803356,-0.4818387,-0.419093,-0.5151396,-0.441472,-0.6248287,357.8959,357.6174,353.7986,355.6885,358.847,398.3696
"2023-07-31 13:30:00",3,863.8093,85.51563,-69.40312,-9.304143,1628.126,55.52238,718.1946,936.1241,249.7555,34.56201,1000.842,0,55.89241,35.57671,32.80239,32.9337,33.15368,34.27095,32.41386,30.68325,58.2256,56.72918,56.88208,53.32564,60.21286,76.54272,3.047167,81.0078,2.42535,2.09484,0.84525,57.74131,-0.4060025,-0.4049112,-0.2684856,-0.3918144,-0.5145975,-0.7437925,356.2823,354.7339,354.7203,354.1269,386.944,416.1391
"2023-07-31 14:00:00",4,903.805,90.58047,-75.96688,-8.688777,1678.626,57.63961,745.9464,972.4979,212.7861,35.27754,1000.347,0,56.13888,36.08791,33.41689,33.40723,33.71027,34.58049,32.81264,31.08061,54.76616,53.71427,53.62175,50.60747,56.62495,72.68588,2.926167,98.53942,2.43984,2.14038,0.96393,93.48564,-0.5222372,-0.3421555,-0.4147339,-0.3770804,-0.4960435,-0.6679121,355.1637,354.5089,354.3042,358.4925,368.2128,436.0518
"2023-07-31 14:30:00",5,726.5485,73.9731,-68.95837,-8.084975,1347.731,48.03023,591.702,780.0224,190.5045,34.46357,999.4855,0,55.68267,35.47085,33.00659,33.33882,33.60811,34.69702,32.68487,31.13512,54.75479,52.59769,52.50014,48.98037,54.07811,68.99334,3.135333,78.55065,2.72205,2.30943,0.7031101,47.45194,-0.2024449,-0.1478812,-0.1516941,-0.09275702,-0.1396776,-0.310999,356.6408,356.1509,354.6813,356.4254,378.2755,413.5692
"2023-07-31 15:00:00",6,428.9065,44.57053,-58.37787,-7.538392,795.5655,32.58195,333.4965,457.2957,163.597,32.90158,999.0301,0,55.47393,34.39461,32.95324,32.9072,33.10059,33.73759,31.84918,30.43308,55.77764,54.88672,55.22186,52.53621,58.86617,71.09978,2.839166,110.3869,2.08932,1.72017,0.7024199,98.07765,0.1293097,0.0441944,0.1293058,0.1276707,0.03109954,-0.1805917,356.8049,356.7093,355.8759,356.2176,359.0956,399.7009
"2023-07-31 15:30:00",7,633.9446,67.97742,-74.82126,-7.706601,1162.944,45.2855,498.8525,681.1383,150.0401,34.36525,998.8629,0,56.13285,35.58816,33.99965,33.57053,33.81637,35.20972,32.52841,30.92842,52.29418,52.32288,52.25468,47.87164,55.37364,68.63362,2.804167,100.4173,2.10381,1.92717,0.79764,80.09506,-0.06110603,-0.0469221,-0.002727234,0.06383435,0.1538572,-0.005456001,356.1277,356.046,354.9073,355.2204,353.8702,414.1866
